ARTICOLO ,CATEGORIA,STAGIONE ,LINEA ,COLORI,N CAPI TU ,N. CAPI XS ,N CAPI S,N CAPI M,N CAPI L ,N CAPI XL ,N CAPI XXL,PREZZO LAB ,PREZZO ECOMMERCE
MIAMI ✅,GONNA,P/E,FELPA P.,CORDA ,,,1,2,2,,,"129,99",
MIAMI ✅,GONNA,P/E,FELPA P.,CREMA ,,,3,2,3,,,"129,99",
,,,,,,,,,,,,,
MINORCA ✅,GONNA,P/E,MAGLIERIA ,NERO,,,1,1,0,0,0,"139,99",
MINORCA ✅,GONNA,P/E,MAGLIERIA ,CREMA,,,3,0,0,0,0,"139,99",
,,,,,,,,,,,,,
MONTECARLO✅,CAPPOTTO ,A/I,FELPA G.,NERO ,,,,1,3,3,,"469,99",
MONTECARLO✅,CAPPOTTO,A/I,FELPA  G.,CAMMELLO,,,,2,0,2,,"469,99",
,,,,,,,,,,,,,
MOSS,MAGLIONE ,A/I,MAGLIERIA ,,,,,,,,,,
,,,,,,,,,,,,,
MUMBAI  ✅,FELPA ,A/I,FELPA L.,MULTICOLOR ,,,2,2,2,,,240,
,,,,,,,,,,,,,
MYKONOS  ✅,PANTALONI ,P/E,FELPA P.,NERO,,,,1,1,1,,"159,99",
MYKONOS  ✅,PANTALONI ,P/E,FELPA P.,CORDA ,,,,2,3,2,,"159,99",
MYKONOS  ✅,PANTALONI ,P/E,FELPA P.,CREMA ,,,,1,3,0,,"159,99",
,,,,,,,,,,,,,
NAIROBI ✅,GILET ,P/E,MAGLIERIA ,CREMA,0,0,0,0,0,5,0,"169,99",
,,,,,,,,,,,,,
NEVADA✅,MAGLIONE,A/I,MAGLIERIA,VERDE,0,0,0,4,0,0,0,220,
,,,,,,,,,,,,,
NEW YORK  ✅,PANTALONI ,A/I,FELPA L.,NERO ,,,1,1,1,,,"139,99",
NEW YORK  ✅,PANTALONI ,A/I,FELPA L.,CIOCCOLATO ,,,2,3,1,,,"139,99",
NEW YORK  ✅,PANTALONI ,A/I,FELPA L.,VERDE ,,,2,3,1,,,"139,99",
NEW YORK  ✅,PANTALONI ,A/I,FELPA L.,PIOMBO ,,,2,2,0,,,"139,99",
,,,,,,,,,,,,"139,99",
ARTICOLO,CATEGORIA ,STAGIONE ,LINEA ,COLORI ,N CAPI TU ,N CAPI XS ,N CAPI S,N CAPI M ,N CAPI L ,N CAPI XL ,N CAPI XXL ,VENDUTI ,
NIZZA  ✅,FELPA ,A/I,FELPA L.,NERO,,,,2,1,3,,"149,99",
NIZZA  ✅,FELPA ,A/I,FELPA L.,BIANCO,,,,1,1,1,,"149,99",
NIZZA  ✅,FELPA ,A/I,FELPA L.,CAMMELLO,,,,3,3,2,,"149,99",
NIZZA  ✅,FELPA ,A/I,FELPA L.,PIOMBO,,,,2,3,2,,"149,99",
,,,,,,,,,,,,,
NORVEGIA  ✅,FELPA ZIP ,A/I,FELPA G.,NERO,,,,4,,,,"199,99",
,,,,,,,,,,,,,
OSAKA ✅,BLAZER,P/E,FELPA P.,AZZURRO ,,1,1,2,,,,330,
OSAKA ✅,BLAZER ,P/E,FELPA P.,BIANCO ,,2,1,2,0,,,330,
OSAKA  ✅,BLAZER ,P/E,FELPA P.,NERO ,,1,1,1,2,,,330,
,,,,,,,,,,,,,
OSLO ✅,MAGLIONE ,A/I,MAGLIERIA ,GRIGIO,,0,0,0,1,,,,
